,paths,fileName,Left X,Left Y,Right X,Right Y
0,0,IMG_6682.JPG,447,302,555,302
1,1,IMG_6685.JPG,451,292,574,289
2,2,IMG_6688.JPG,452,301,560,301
3,3,IMG_6691.JPG,442,273,550,274
4,4,IMG_6694.JPG,445,285,556,285
5,5,IMG_6697.JPG,447,304,561,305
6,6,IMG_6700.JPG,458,290,567,288
7,7,IMG_6703.JPG,466,299,563,305
8,8,IMG_6706.JPG,466,291,572,294
9,9,IMG_6709.JPG,459,281,567,284
10,10,IMG_6712.JPG,456,281,569,281
11,11,IMG_6715.JPG,453,291,566,291
12,12,IMG_6718.JPG,434,248,559,242
13,13,IMG_6721.JPG,466,299,562,306
14,14,IMG_6724.JPG,460,286,561,288
15,15,IMG_6727.JPG,451,362,562,363
16,16,IMG_6730.JPG,452,321,565,321
17,17,IMG_6733.JPG,456,310,568,311
18,18,IMG_6736.JPG,452,304,552,308
19,19,IMG_6739.JPG,449,334,556,331
20,20,IMG_6742.JPG,449,306,567,315
21,21,IMG_6745.JPG,446,298,570,301
22,22,IMG_6748.JPG,455,313,567,317
23,23,IMG_6751.JPG,437,335,563,330
24,24,IMG_6754.JPG,437,316,550,317
25,25,IMG_6757.JPG,454,308,572,304
26,26,IMG_6760.JPG,440,287,575,284
27,27,IMG_6763.JPG,458,282,568,284
28,28,IMG_6766.JPG,453,296,568,295
29,29,IMG_6769.JPG,435,291,549,285
30,30,IMG_6772.JPG,455,283,552,278
31,31,IMG_6775.JPG,448,283,565,277
32,32,IMG_6778.JPG,464,317,573,324
33,33,IMG_6781.JPG,447,322,555,320
34,34,IMG_6784.JPG,445,281,569,288
35,35,IMG_6787.JPG,458,299,569,300
36,36,IMG_6790.JPG,453,288,556,284
37,37,IMG_6793.JPG,464,285,565,279
